# Filename: MIROC6_trend.1_1960_2014_1_mon
    1 trend      1        -nan        -nan     -5.7869      34.816       2592
# Filename: MIROC6_trend.7_1960_2014_091011_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan    -0.91037      1.5563       2592
# Filename: MIROC6_trend.7_1960_2014_120102_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.17697      0.2184    -0.19543      1.7602       2592
# Filename: MIROC6_trend.8_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.19505     0.24453    -0.47838        2.08       2592
# Filename: MIROC6_trend.8_1960_2014_2_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.20379     0.25727    -0.31535      1.6827       2592
# Filename: MIROC6_trend.8_1960_2014_3_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1      0.1722     0.23147    -0.40737       1.928       2592
# Filename: MIROC6_trend.8_1960_2014_4_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.16779       0.196    -0.47587      1.7539       2592
# Filename: MIROC6_trend.8_1960_2014_5_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.35763     0.70789       2592
# Filename: MIROC6_trend.8_1960_2014_6_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.88199     0.61622       2592
# Filename: MIROC6_trend.8_1960_2014_7_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -3.0637     0.70618       2592
# Filename: MIROC6_trend.8_1960_2014_8_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -1.8348      1.4191       2592
# Filename: MIROC6_trend.8_1960_2014_9_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.90366     0.78329       2592
# Filename: MIROC6_trend.8_1960_2014_10_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -0.4532      1.5332       2592
# Filename: MIROC6_trend.8_1960_2014_11_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.49473      1.9185       2592
# Filename: MIROC6_trend.8_1960_2014_12_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.19425     0.24218    -0.44604      1.9712       2592
# Filename: MIROC6_trend.8_1960_2014_030405_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.16619     0.15519    -0.24563      1.2346       2592
# Filename: MIROC6_trend.8_1960_2014_060708_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan     -1.8348      38.646       2592
