# Filename: trend.1_1960_2014_1_mon
    1 trend      1     0.19689     0.18221    -0.17136     0.78706       2592
# Filename: trend.9_1960_2014_060708_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan    -0.29976      103.51       2592
# Filename: trend.9_1960_2014_091011_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan    -0.30176      2.0348       2592
# Filename: trend.9_1960_2014_120102_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1      0.1938     0.18644    -0.17649     0.95933       2592
# Filename: trend.10_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.21048     0.22106    -0.42296      1.0938       2592
# Filename: trend.10_1960_2014_2_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1      0.1988     0.21986    -0.17521      1.0353       2592
# Filename: trend.10_1960_2014_3_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.23852     0.21453    -0.16727       1.043       2592
# Filename: trend.10_1960_2014_4_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.21666     0.24128     -2.2831     0.98857       2592
# Filename: trend.10_1960_2014_5_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.65171      1.7664       2592
# Filename: trend.10_1960_2014_6_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.49359     0.77671       2592
# Filename: trend.10_1960_2014_7_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.30186      1.0474       2592
# Filename: trend.10_1960_2014_8_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.39554      1.6676       2592
# Filename: trend.10_1960_2014_9_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.79263     0.93598       2592
# Filename: trend.10_1960_2014_10_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.90277      1.0956       2592
# Filename: trend.10_1960_2014_11_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan     -1.3123      1.1054       2592
# Filename: trend.10_1960_2014_12_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.19638     0.16814    -0.30255     0.71278       2592
# Filename: trend.10_1960_2014_030405_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.21379     0.20059    -0.21032     0.95297       2592
# Filename: trend.10_1960_2014_060708_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan    -0.45684      45.227       2592
# Filename: trend.10_1960_2014_091011_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
